Query,GB_ID,superkingdom,phylum,class,order,family,genus,species,id
ESV_001509,KT132078,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia nonana,100
ESV_001514,KP210194,Eukaryota,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria sp. 2 MCO-2015,82.2
ESV_001514,MF319142,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cladhymenia,Cladhymenia coronata,82.2
ESV_001514,KY656537,Eukaryota,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria sp.,82.2
ESV_001514,KY656532,Eukaryota,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,Gracilaria sp.,82.2
ESV_001516,KR386814,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula sp. BOLD:ABX6346,99.4
ESV_001516,HM416281,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula furca,99.4
ESV_001516,MF833458,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula sp. BIOUG15213-D09,99.4
ESV_001516,HM416333,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula sp. BBTEC095-09,99.4
ESV_001516,MG165459,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula tephrocephala,99.4
ESV_001516,KR436894,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula tephrocephala,99.4
ESV_001516,KR434852,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula tephrocephala,99.4
ESV_001516,MF835174,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula sp. BIOUG15213-D06,99.4
ESV_001516,HM883372,Eukaryota,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula sp. BBTEC017-09,99.4
ESV_001511,MG422836,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-37,93.6
ESV_001511,MG422301,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-39,93.6
ESV_001511,MG422668,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-41,93.6
ESV_001511,MG422573,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-38,93.6
ESV_001511,MG423207,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-40,93.6
ESV_001512,KR783928,Eukaryota,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,,Cryptinae sp. BOLD-2016,93
ESV_001515,KX372290,Eukaryota,Nematoda,,,,,Nematoda sp. RS-2017,87.3
ESV_001515,KX372289,Eukaryota,Nematoda,,,,,Nematoda sp. RS-2017,87.3
ESV_001527,MG422836,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-37,90.4
ESV_001527,MG422301,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-39,90.4
ESV_001527,MG422668,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-41,90.4
ESV_001527,MG422573,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-38,90.4
ESV_001527,MG423207,Eukaryota,Nematoda,Chromadorea,Rhabditida,,,Rhabditida sp. DPMIT-31-40,90.4
ESV_001513,KR964650,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR962642,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965572,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR962798,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965092,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963455,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966732,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965381,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963866,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966145,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965535,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR962945,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963447,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964139,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR967257,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963979,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965285,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965372,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966323,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965693,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964587,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966235,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964826,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964620,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963575,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963758,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965329,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963560,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963324,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963042,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966245,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965797,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963740,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966965,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966398,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966334,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR962781,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963790,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964822,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963619,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965052,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963685,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963114,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963067,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965554,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964708,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963388,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965546,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964485,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966594,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965584,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963255,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963829,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964924,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR967045,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963135,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966656,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963534,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964005,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR963785,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR966996,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR967223,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR967214,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964175,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR964289,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,KR965885,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BOLD-2016,93.6
ESV_001513,MF823896,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20197-G05,93.6
ESV_001513,MF825792,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20817-A10,93.6
ESV_001513,MF822330,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG19633-F07,93.6
ESV_001513,MF826019,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20815-D04,93.6
ESV_001513,MF825730,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20197-E03,93.6
ESV_001513,MF820085,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20778-A09,93.6
ESV_001513,MF822502,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20815-G06,93.6
ESV_001513,MF822233,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20817-A03,93.6
ESV_001513,MF823215,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20158-C11,93.6
ESV_001513,MF824355,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20158-F11,93.6
ESV_001513,MF826822,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20156-E11,93.6
ESV_001513,MF825173,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20816-D04,93.6
ESV_001513,MF827170,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG19764-F04,93.6
ESV_001513,KR683827,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Orthocladiinae sp. BOLD-2016,93.6
ESV_001513,MF732058,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Orthocladiinae sp. BIOUG20958-H02,93.6
ESV_001513,HM883228,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Orthocladiinae sp. BBDIQ186-10,93.6
ESV_001513,MG139397,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Orthocladiinae sp. BIOUG26566-D06,93.6
ESV_001513,MF821479,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20816-E03,93.6
ESV_001513,MF825912,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20817-A08,93.6
ESV_001513,MF822247,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20816-E06,93.6
ESV_001513,MF825678,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20817-A11,93.6
ESV_001513,MF823213,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20778-E08,93.6
ESV_001513,MF827607,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20156-G03,93.6
ESV_001513,MF824745,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20158-B07,93.6
ESV_001513,MF825781,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20778-H04,93.6
ESV_001513,MF828249,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20157-G02,93.6
ESV_001513,MF827557,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20156-C01,93.6
ESV_001513,MF822778,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20157-H03,93.6
ESV_001513,MF820603,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20816-D09,93.6
ESV_001513,MF824933,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20157-D01,93.6
ESV_001513,MF828429,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20158-G10,93.6
ESV_001513,MF827281,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20778-E04,93.6
ESV_001513,MF823142,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG19633-C03,93.6
ESV_001513,MF827396,Eukaryota,Arthropoda,Insecta,Diptera,Chironomidae,NA,Chironomidae sp. BIOUG20157-G11,93.6
ESV_001520,KX844052,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KX843885,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KX844309,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KX844530,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KX844447,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KX844098,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,HM861393,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KU146906,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Nowickia,Nowickia marklini,98.7
ESV_001520,KM939911,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachininae sp. BOLD:ABY5409,98.7
ESV_001520,KR693639,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.7
ESV_001520,KR684055,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.7
ESV_001520,KR691293,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR684098,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR680462,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KT118243,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR683230,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR691054,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR677875,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR684933,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR690983,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KT105249,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR690928,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR680100,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,,Tachinidae sp. BOLD-2016,98.1
ESV_001520,KR456785,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR471977,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR475300,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR458856,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR457412,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR473852,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR461910,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR462461,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR475134,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR461025,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR476020,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR462741,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR460893,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,MG476617,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR458816,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,MF829959,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR456893,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR462353,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,MG473323,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina algens,98.1
ESV_001520,KR692550,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KT106583,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KT110424,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR692770,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR697087,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR695440,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR688882,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR697375,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KT104767,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR686306,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR696916,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR691800,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR677806,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR696621,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR686892,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR687736,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR694598,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR686616,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR679009,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
ESV_001520,KR683320,Eukaryota,Arthropoda,Insecta,Diptera,Tachinidae,Tachina,Tachina sp. BOLD-2016,98.1
