"Query","GB_ID","taxid","superkingdom","phylum","class","order","family","genus","species","id"
"ESV_002636","JF878467",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878662",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878352",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878432",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878723",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878664",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878441",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878780",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878642",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878773",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878704",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878604",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878665",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878433",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878663",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878794",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878431",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_002636","JF878354",1860186,"Eukaryota","Arthropoda","Insecta","Diptera","Dolichopodidae","Scellus","Scellus spinimanus",94.3
"ESV_004327","KR696765",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT107119",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","MG143882",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR696251",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685194",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","MG140862",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685555",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT111199",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR680911",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR696403",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT113275",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR678416",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR677947",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT102778",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR690022",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR686919",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT106324",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR682670",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR686879",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684799",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR689727",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR696242",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR682940",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT116145",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR687001",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684623",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR686872",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR682885",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR680022",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR679499",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR688483",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685656",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR694058",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR687311",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR692706",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR686447",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT115301",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684445",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR693692",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT117867",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KX281770",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR688808",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR693717",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR694222",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR692470",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR680432",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR697517",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR682767",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685435",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR695474",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR693214",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR690669",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684510",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT112156",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684976",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR688990",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT102937",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR681260",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR678171",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR770790",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT116026",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR678899",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684734",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT111256",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR689575",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT105160",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR683394",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KT103439",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR683782",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR683580",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR690694",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR689416",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR691400",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685649",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR160829",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR690196",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR684151",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR688262",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR693128",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR689173",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR689722",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR692089",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR686774",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR688829",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR158679",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR683712",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR157686",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR678102",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR697238",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR765391",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR690048",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KX281753",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR685901",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR678293",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KR682046",1772170,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. 1ES",100
"ESV_004327","KM992841",1474062,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. BOLD:AAG3920",100
"ESV_004327","KJ166892",1474062,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. BOLD:AAG3920",100
"ESV_004327","KJ444356",1474062,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. BOLD:AAG3920",100
"ESV_004327","KJ208183",1474062,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. BOLD:AAG3920",100
"ESV_004327","KM989954",1474062,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Procladius","Procladius sp. BOLD:AAG3920",100
"ESV_002754","HQ106431",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.7
"ESV_002754","HQ920409",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.7
"ESV_002754","HQ920398",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.7
"ESV_002754","KR043798",881785,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.7
"ESV_002754","KR031894",1657219,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.7
"ESV_002754","KR038417",1657219,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.1
"ESV_002754","KR037583",1657219,"Eukaryota","Arthropoda","Insecta","Hemiptera","Corixidae","Trichocorixa","Trichocorixa verticalis",98.1
"ESV_004328","HM428458",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KJ387803",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428540",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM388089",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921612",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM548053",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428570",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921551",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HQ930396",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428452",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KJ387153",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428098",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","JN284018",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","GU691232",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428475",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921064",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM541748",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HQ927768",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF922177",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM547640",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921129",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM427970",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM550862",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KT141939",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM540920",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KF492346",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF920668",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM426784",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428236",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KJ389974",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KX281199",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921824",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM427958",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KF492348",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM427965",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","JN284016",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HQ572850",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921352",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KJ384527",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428569",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","MF921171",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","KM553115",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428448",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","HM428457",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
"ESV_004328","GU694562",320027,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Noctuidae","Euxoa","Euxoa auxiliaris",100
