TestId,ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession,PercMatch
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,89.2
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,88.6
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,89.2
ArthCOI,ESV_098002,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850136,88.6
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.2
ArthCOI,ESV_098001,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.2
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,94.3
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,93.7
ArthCOI,ESV_098000,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,93.7
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.8
ArthCOI,ESV_097999,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.8
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C05,MF642196,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C06,MF639316,98.1
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19686-A08,MF639121,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG20280-D11,MF637512,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19976-H05,MF636133,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C07,MF634744,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916672,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916513,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM850958,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM848947,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM846849,98.1
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCN975-10,JF888501,98.1
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM020-10,JF887378,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM019-10,JF887377,98.1
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM018-10,JF887376,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM014-10,JF887372,98.1
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM012-10,JF887370,97.5
ArthCOI,ESV_097998,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM010-10,JF887368,97.5
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,94.9
ArthCOI,ESV_097997,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,94.3
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,94.9
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,94.9
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,94.9
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,94.9
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,94.9
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,95.5
ArthCOI,ESV_097996,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,94.9
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.8
ArthCOI,ESV_097995,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.8
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,97.5
ArthCOI,ESV_097994,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.8
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C05,MF642196,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C06,MF639316,99.4
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19686-A08,MF639121,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG20280-D11,MF637512,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19976-H05,MF636133,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C07,MF634744,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916672,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916513,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM850958,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM848947,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM846849,99.4
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCN975-10,JF888501,99.4
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM020-10,JF887378,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM019-10,JF887377,99.4
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM018-10,JF887376,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM014-10,JF887372,99.4
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM012-10,JF887370,98.7
ArthCOI,ESV_097993,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM010-10,JF887368,98.7
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.2
ArthCOI,ESV_097992,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.2
ArthCOI,ESV_097991,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pseudosciaphila,Pseudosciaphila duplex,KM544051,96.2
ArthCOI,ESV_097991,Eukaryota,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pseudosciaphila,Pseudosciaphila branderiana,JN275008,95.5
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,92.4
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,91.7
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,92.4
ArthCOI,ESV_097990,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850136,91.7
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.8
ArthCOI,ESV_097989,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,96.8
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,96.2
ArthCOI,ESV_097988,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma floridanum,KF850144,96.2
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22184-E04,MF907230,90.5
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22444-C03,MF906707,90.5
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22442-E02,MF906651,90.5
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BIOUG22182-F10,MF902116,90.5
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR878229,90.5
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD-2016,KR791822,91.1
ArthCOI,ESV_097987,Eukaryota,Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma sp. BOLD:ACI5469,KR403159,90.5
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha sp. BIOUG22954-A08,MG360078,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha sp. BOLD-2016,KT147170,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha sp. BOLD:AAA4309,KR446068,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha rectangula group sp. BOLD:AAA4309,KM545898,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha alias,KC846761,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha angulidens,KC846739,96.8
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha abstrusa,KC846712,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha rectangula,KC846249,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha angulidens,HM863186,96.2
ArthCOI,ESV_097986,Eukaryota,Arthropoda,Insecta,Lepidoptera,Noctuidae,Syngrapha,Syngrapha microgamma,GU097143,96.2
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C05,MF642196,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C06,MF639316,98.1
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19686-A08,MF639121,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG20280-D11,MF637512,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG19976-H05,MF636133,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BIOUG18066-C07,MF634744,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916672,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BOLD-2016,KR916513,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM850958,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM848947,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon tenuicorne,KM846849,98.1
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCN975-10,JF888501,98.1
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM020-10,JF887378,97.5
ArthCOI,ESV_097985,Eukaryota,Arthropoda,Insecta,Coleoptera,Cephaloidae,Cephaloon,Cephaloon sp. BBCCM019-10,JF887377,98.1
