id,long,lat,hab,date,year,species,site,elevation,num_nestlings,avg_tarsus,arthro_diversity,provisioning,provisoner,num_fecal,prop_fecal,diet_diversity_index
44-2024,-105.547642,40.036484,,186,2024,MOCH,MRS,3223.26,6,14.6,,,,4,,
18-2024,-105.5826304,40.0471448,,186,2024,MOCH,MRS,3346.704,6,14.5,,26,WCA,4,,
261-2024,-105.27893,40.002003,,160,2024,BCCH,BLD,1700.784,8,14.25,,,,2,,
286-2024,-105.281395,40.034055,,147,2024,BCCH,BLD,1655.064,5,16.44,,22,SRP,1,,
351-2024,-105.1259393,40.01589541,,154,2024,BCCH,BLD,1589.532,,,,,,1,,
363-2024,-105.513611,39.96,,154,2024,BCCH,BLD,1694.688,7,14.3,,26,AMP,2,,
119-2024,-105.274787,40.008455,,150,2024,BCCH,CU,1638.3,6,15.85,,22,SRP,1,,
128-2024,-105.273349,40.007808,,149,2024,BCCH,CU,1638.3,5,15.32,,20,SRP,1,,
217-2024,-105.32453,39.98435,,168,2024,MOCH,FLG,2324.1,8,14,,20,SEP,2,,
239-2024,-105.32388,39.98502,,170,2024,MOCH,FLG,2324.1,9,13.8,,16,BHF,1,,
16-2024,-105.580762,40.04764,,185,2024,MOCH,MRS,3343.656,8,15.9,,20,SRP,1,,
209-2024,-105.533388,40.03153,,181,2024,MOCH,MRS,2874.264,6,15.6,,20,ONT,1,,
23-2024,-105.565923,40.040418,,190,2024,MOCH,MRS,3206.496,7,14.5,,16,ONT,1,,
36-2024,-105.568967,40.042104,,187,2024,MOCH,MRS,3206.496,7,15.8,,,,1,,
51-2024,-105.569505,40.040815,,186,2024,MOCH,MRS,3223.26,7,14.2,,34,WCA,1,,
65-2024,-105.540053,40.034849,,190,2024,MOCH,MRS,3223.26,3,14,,14,ONT,3,,
403-2024,-105.504444,39.958056,,166,2024,MOCH,NED,2493.264,5,15.1,,14,NCA,1,,
101-2024,-105.47194,40.006879,,193,2024,MOCH,SGR,2535.936,4,12.3,,28,ONT,1,,
149-2024,-105.474538,39.992185,,178,2024,MOCH,SGR,2537.46,7,16.8,,34,ONT,1,,
186-2024,-105.462812,40.003478,,175,2024,MOCH,SGR,2484.12,6,14.7,,18,ONT,1,,
207-2024,-105.475862,40.001763,,173,2024,MOCH,SGR,2491.74,6,13.8,,14,SRP,1,,
229-2024,-105.470965,40.001828,,174,2024,MOCH,SGR,2508.504,7,14.8,,20,SRP,2,,
254-2024,-105.35332,40.016307,,166,2024,MOCH,SGR,1996.44,4,14.7,,10,ONT,1,,
